DATAFLOW,REF_AREA,FREQ,MEASURE,CUR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,1998,1557,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,1999,1618,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,2000,1670,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,2001,1735,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,2002,1791,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,2003,1869,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,2004,1943,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,2005,2025,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,2006,2100,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,2007,2218,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
