DATAFLOW,REF_AREA,FREQ,MEASURE,CUR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,1998,1130.548,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,1999,1178.45,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2000,1205.655,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2001,1235.16,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2002,1258.211,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2003,1284.135,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2004,1348.561,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2005,1383.065,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2006,1404.052,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2007,1474.795,,NB,CR,0,ADM - Labour legislation,,AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2008,1539.439,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2009,1520.509,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2010,1588.242,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2011,1672.714,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2012,1699.476,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2013,1775.974,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2014,1814.929,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2015,1841.89,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2016,1901.155,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2017,1926.721,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2018,1998.599,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2019,2050.876,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2020,2114.786,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2021,2225.595,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2022,2492.667,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
